	title	cn	_merge
0	Title: Atlas zur Kirchengeschichte : die christlichen Kirchen 	BR98 .J43 1987	both
1	Title: Atlas of African prehistory, compiled by J. Desmond 	DT13 .C53	both
2	Title: Atlas of African prehistory, compiled by J. Desmond 	DT13 .C53	both
3	Title: Atlas of African prehistory, compiled by J. Desmond 	DT13 .C53	both
4	Title: We the people : an atlas of America's ethnic diversity 	E184.A1 A479 1988	both
5	Title: Upper East Side living [cartographic material] / 	F128.18 .U4 1997	both
6	Title: Upper West Side [cartographic material] / Identity Map 	F128.18 .U6 1996	both
7	Title: The advanced atlas of modern geography. 	G1019 .B27	both
8	Title: National Geographic atlas of the world [cartographic 	G1019 .N36 1999	both
9	Title: Atlas of the world / [cartographic material] / 	G1021 .A85 2000	both
10	Title: Encyclopedic world atlas. 	G1021 .G42 1994	both
11	Title: Hammond world atlas [cartographic material]. 	G1021 .H29 1999	both
12	Title: The Macmillan world atlas [cartographic material]. 	G1021 .M23 1996	both
13	Title: Hammond Atlas of world history / [cartographic 	G1030 .H23 1999	both
14	Title: The Times atlas of world history / edited by Geoffrey 	G1030 .T54 1993A	both
15	Title: The Times history of the world / edited by Geoffrey 	G1030 .T54 1999	both
16	Title: Barrington atlas of the Greek and Roman world / 	G1033 .B3 2000	both
17	Title: Barrington atlas of the Greek and Roman world / 	G1033 .B3 2000	both
18	Title: Atlas of Columbus and the great discoveries / by 	G1036 .N4 1990	both
19	Title: The World atlas of archaeology / foreword by Michael 	G1046.E15 W6 1985	both
20	Title: Third World atlas / prepared by Ben Crow and Alan 	G1046.G1 C7 1985	both
21	Title: The national atlas of the United States of America. 	G1200 .U57 1970	both
22	Title: Atlas of the 1990 census / Mark T. Mattson. 	G1201.E2 M3 1992	both
23	Title: The historical atlas of United States Congressional 	G1201.F9 M3 1982	both
24	Title: Atlas of United States environmental issues / Robert 	G1201.G3 M3 1990	both
25	Title: Mapping America's past [cartographic material] : a 	G1201.S1 C3 1996	both
26	Title: The atlas of the Civil War / edited by James M. 	G1201.S5 A85 1994	both
27	Title: A comparative atlas of America's great cities : twenty 	G1204.A1 A3 1976	both
28	Title: New York State atlas [cartographic material]. 	G1250 .N4 1998	both
29	Title: The Appalachian region of New York State : an atlas of 	G1252.A6 N4 1969	both
30	Title: An Historical atlas of Islam [cartographic material] = 	G1786.S1 H6 2002	both
31	Title: An Historical atlas of Islam [cartographic material] = 	G1786.S1 H6 2002	both
32	Title: Armenia [cartographic material] : a historical atlas / 	G2164.61.S1 H4 2001	both
33	Title: The Cambridge atlas of the Middle East and North 	G2205 .C3 1987	both
34	Title: Student map manual : historical geography of the Bible 	G2236.S1 S88 1979	both
35	Title: An Atlas of India. 	G2280 .A85 1990	both
36	Title: China : a provincial atlas / Chiao-min Hsieh, Jean Kan 	G2305 .H845 1995	both
37	Title: The national atlas of Korea [cartographic material] / 	G2330 .K83 2009	both
38	Title: The World atlas of architecture / foreword by John 	NA200 .G76 1984	both
39	Title: Cambridge star atlas 2000.0 / Wil Tirion. 	QB65 .T57 1991	both
40	Title: The NASA atlas of the solar system / [cartographic 	QB605 .G7 1997	both
